repo_id,owner,name,full_name,language,created_at,updated_at,stars,forks,open_issues,archived,age_days,html_url,star_band
82700090,cadence-workflow,cadence,cadence-workflow/cadence,Go,2017-02-21T16:10:18Z,2026-09-04T20:47:14Z,9428,914,202,False,3483,https://github.com/cadence-workflow/cadence,1K-10K
21540759,avelino,awesome-go,avelino/awesome-go,Go,2014-07-06T13:42:15Z,2026-09-05T16:38:18Z,183227,13544,223,False,4444,https://github.com/avelino/awesome-go,50K+
48378947,fatedier,frp,fatedier/frp,Go,2015-12-21T15:24:59Z,2026-09-05T16:03:23Z,109227,15210,48,False,3911,https://github.com/fatedier/frp,50K+
730534580,infiniflow,ragflow,infiniflow/ragflow,Go,2023-12-12T06:13:13Z,2026-09-05T16:51:14Z,90091,10626,1596,False,998,https://github.com/infiniflow/ragflow,50K+
14712850,syncthing,syncthing,syncthing/syncthing,Go,2013-11-26T09:48:21Z,2026-09-05T16:19:47Z,88317,5452,381,False,4666,https://github.com/syncthing/syncthing,50K+
13807606,junegunn,fzf,junegunn/fzf,Go,2013-10-23T16:04:23Z,2026-09-05T16:51:45Z,82828,2862,329,False,4700,https://github.com/junegunn/fzf,50K+
163883279,nektos,act,nektos/act,Go,2019-01-02T19:53:43Z,2026-09-05T11:59:48Z,71810,2022,377,False,2802,https://github.com/nektos/act,50K+
6838921,prometheus,prometheus,prometheus/prometheus,Go,2012-11-24T11:14:12Z,2026-09-05T16:47:43Z,65955,10822,896,False,5033,https://github.com/prometheus/prometheus,50K+
72495579,go-gitea,gitea,go-gitea/gitea,Go,2016-11-01T02:13:26Z,2026-09-05T15:20:00Z,57836,7109,2534,False,3595,https://github.com/go-gitea/gitea,50K+
11225014,etcd-io,etcd,etcd-io/etcd,Go,2013-07-06T21:57:21Z,2026-09-05T16:15:39Z,52234,10488,342,False,4808,https://github.com/etcd-io/etcd,50K+
15452919,ethereum,go-ethereum,ethereum/go-ethereum,Go,2013-12-26T13:05:46Z,2026-09-05T14:27:32Z,51326,22141,438,False,4636,https://github.com/ethereum/go-ethereum,50K+
69343400,alidili,SesameCreditScore,alidili/SesameCreditScore,Java,2016-09-27T09:59:27Z,2026-09-01T04:18:14Z,100,27,0,False,3630,https://github.com/alidili/SesameCreditScore,0-100
463991331,IJ-Apps,Image-Classification-App-with-Custom-TensorFlow-Model,IJ-Apps/Image-Classification-App-with-Custom-TensorFlow-Model,Java,2022-02-26T23:28:16Z,2026-09-01T04:17:02Z,100,39,1,False,1651,https://github.com/IJ-Apps/Image-Classification-App-with-Custom-TensorFlow-Model,0-100
91416165,zachkasica,Planet-Generator,zachkasica/Planet-Generator,Java,2017-05-16T05:06:33Z,2026-09-01T04:16:08Z,100,19,0,False,3399,https://github.com/zachkasica/Planet-Generator,0-100
119078052,montoyo,webdisplays,montoyo/webdisplays,Java,2018-01-26T16:51:17Z,2026-09-01T04:16:39Z,100,83,174,False,3144,https://github.com/montoyo/webdisplays,0-100
907832963,jiangnanboy,JiaJiaOCR,jiangnanboy/JiaJiaOCR,Java,2024-12-24T13:57:53Z,2026-09-02T09:42:31Z,100,18,9,False,620,https://github.com/jiangnanboy/JiaJiaOCR,0-100
128913808,UdacityAndroidDevScholarship,quiz-app,UdacityAndroidDevScholarship/quiz-app,Java,2018-04-10T10:14:28Z,2026-09-01T04:16:19Z,100,126,13,False,3070,https://github.com/UdacityAndroidDevScholarship/quiz-app,0-100
22587322,Pkmmte,PkRSS,Pkmmte/PkRSS,Java,2014-08-04T00:42:37Z,2026-09-01T04:16:11Z,100,22,13,False,4415,https://github.com/Pkmmte/PkRSS,0-100
43819335,WenkaiZhou,Android-LoopView,WenkaiZhou/Android-LoopView,Java,2015-10-07T13:58:08Z,2026-09-01T04:16:40Z,100,50,0,False,3986,https://github.com/WenkaiZhou/Android-LoopView,0-100
650935072,openjdk,jdk21,openjdk/jdk21,Java,2023-06-08T06:10:29Z,2026-09-01T04:20:56Z,100,77,0,True,1185,https://github.com/openjdk/jdk21,0-100
97333326,divScorp,Java-Programs,divScorp/Java-Programs,Java,2017-07-15T18:01:08Z,2026-09-01T04:18:32Z,100,68,2,False,3338,https://github.com/divScorp/Java-Programs,0-100
20704907,MangoAutomation,modbus4j,MangoAutomation/modbus4j,Java,2014-06-10T23:10:27Z,2026-09-01T14:20:20Z,1000,394,47,False,4469,https://github.com/MangoAutomation/modbus4j,101-1K
411912097,bytechefhq,bytechef,bytechefhq/bytechef,Java,2021-09-30T03:39:20Z,2026-09-05T11:48:28Z,1000,170,453,False,1801,https://github.com/bytechefhq/bytechef,101-1K
279084274,hardcore-sushi,DroidFS,hardcore-sushi/DroidFS,Java,2020-07-12T14:43:26Z,2026-09-05T15:48:17Z,1000,72,142,False,2246,https://github.com/hardcore-sushi/DroidFS,101-1K
61595173,msdx,status-bar-compat,msdx/status-bar-compat,Java,2016-06-21T02:16:39Z,2026-09-01T14:21:24Z,998,154,3,False,3728,https://github.com/msdx/status-bar-compat,101-1K
74628476,gsh199449,spider,gsh199449/spider,Java,2016-11-24T01:48:03Z,2026-09-01T14:21:39Z,998,472,4,False,3572,https://github.com/gsh199449/spider,101-1K
518343790,qiutiandefeng,yfexam-exam,qiutiandefeng/yfexam-exam,Java,2022-07-27T06:53:32Z,2026-09-05T02:57:29Z,998,176,7,False,1501,https://github.com/qiutiandefeng/yfexam-exam,101-1K
47696165,desmond1121,Android-Ptr-Comparison,desmond1121/Android-Ptr-Comparison,Java,2015-12-09T14:27:50Z,2026-09-01T14:22:55Z,996,145,5,False,3923,https://github.com/desmond1121/Android-Ptr-Comparison,101-1K
76628368,Krupen,AutoplayVideos,Krupen/AutoplayVideos,Java,2016-12-16T06:34:23Z,2026-09-01T14:23:06Z,995,144,31,False,3550,https://github.com/Krupen/AutoplayVideos,101-1K
9395761,apache,stormcrawler,apache/stormcrawler,Java,2013-04-12T14:13:30Z,2026-09-03T07:18:49Z,994,292,53,False,4894,https://github.com/apache/stormcrawler,101-1K
235941952,getActivity,Logcat,getActivity/Logcat,Java,2020-01-24T04:56:07Z,2026-09-04T07:54:50Z,993,121,1,False,2416,https://github.com/getActivity/Logcat,101-1K
4710920,apache,dubbo,apache/dubbo,Java,2012-06-19T07:56:02Z,2026-09-05T16:33:32Z,41565,26377,1038,False,5191,https://github.com/apache/dubbo,10K-50K
126178683,halo-dev,halo,halo-dev/halo,Java,2018-03-21T12:56:52Z,2026-09-05T16:05:22Z,39678,10335,117,False,3090,https://github.com/halo-dev/halo,10K-50K
332357698,YunaiV,ruoyi-vue-pro,YunaiV/ruoyi-vue-pro,Java,2021-01-24T03:18:25Z,2026-09-05T15:01:09Z,39140,8459,2,False,2050,https://github.com/YunaiV/ruoyi-vue-pro,10K-50K
146633589,alibaba,arthas,alibaba/arthas,Java,2018-08-29T17:15:57Z,2026-09-05T16:42:47Z,37517,7645,483,False,2928,https://github.com/alibaba/arthas,10K-50K
149001365,doocs,leetcode,doocs/leetcode,Java,2018-09-16T14:03:03Z,2026-09-05T15:54:32Z,36550,9496,0,False,2911,https://github.com/doocs/leetcode,10K-50K
70198875,airbnb,lottie-android,airbnb/lottie-android,Java,2016-10-06T22:42:42Z,2026-09-03T22:40:05Z,35718,5431,72,False,3620,https://github.com/airbnb/lottie-android,10K-50K
