repo_id,full_name,language,month,contributors,new_contributors,returning_contributors
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-10,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-11,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2021-12,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-01,2,0,2
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-02,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-03,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-04,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-05,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-06,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-07,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-08,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-09,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-10,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-11,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2022-12,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2023-01,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2023-02,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2023-03,0,0,0
337459381,Ugenteraan/Deep_Hierarchical_Classification,Python,2023-04,0,0,0
