repo_id,full_name,language,month,pr_opened,pr_closed,pr_merged,issues_opened,issues_closed
178597005,FyroxEngine/Fyrox,Rust,2022-03,2,4,3,3,3
178597005,FyroxEngine/Fyrox,Rust,2022-04,3,2,2,4,2
178597005,FyroxEngine/Fyrox,Rust,2022-05,1,2,2,4,2
178597005,FyroxEngine/Fyrox,Rust,2022-06,1,1,0,5,0
178597005,FyroxEngine/Fyrox,Rust,2022-07,5,4,4,6,4
178597005,FyroxEngine/Fyrox,Rust,2022-08,2,4,4,8,18
178597005,FyroxEngine/Fyrox,Rust,2022-09,3,3,3,12,3
178597005,FyroxEngine/Fyrox,Rust,2022-10,3,3,3,11,5
178597005,FyroxEngine/Fyrox,Rust,2022-11,5,5,5,10,7
178597005,FyroxEngine/Fyrox,Rust,2022-12,6,6,6,2,1
178597005,FyroxEngine/Fyrox,Rust,2023-01,2,2,2,3,10
178597005,FyroxEngine/Fyrox,Rust,2023-02,3,4,3,6,5
178597005,FyroxEngine/Fyrox,Rust,2023-03,4,4,4,9,12
178597005,FyroxEngine/Fyrox,Rust,2023-04,5,5,5,1,4
178597005,FyroxEngine/Fyrox,Rust,2023-05,1,1,1,7,4
178597005,FyroxEngine/Fyrox,Rust,2023-06,4,4,3,6,3
178597005,FyroxEngine/Fyrox,Rust,2023-07,2,2,2,3,6
178597005,FyroxEngine/Fyrox,Rust,2023-08,32,32,31,10,11
178597005,FyroxEngine/Fyrox,Rust,2023-09,16,15,15,7,6
178597005,FyroxEngine/Fyrox,Rust,2023-10,9,6,4,6,10
178597005,FyroxEngine/Fyrox,Rust,2023-11,11,14,11,4,5
178597005,FyroxEngine/Fyrox,Rust,2023-12,3,4,3,4,3
178597005,FyroxEngine/Fyrox,Rust,2024-01,3,3,3,11,7
178597005,FyroxEngine/Fyrox,Rust,2024-02,13,13,12,2,5
178597005,FyroxEngine/Fyrox,Rust,2024-03,2,2,2,4,7
178597005,FyroxEngine/Fyrox,Rust,2024-04,16,16,15,2,8
178597005,FyroxEngine/Fyrox,Rust,2024-05,6,6,5,1,1
178597005,FyroxEngine/Fyrox,Rust,2024-06,5,3,3,7,9
178597005,FyroxEngine/Fyrox,Rust,2024-07,5,6,5,3,3
178597005,FyroxEngine/Fyrox,Rust,2024-08,6,7,5,0,4
178597005,FyroxEngine/Fyrox,Rust,2024-09,0,0,0,1,1
178597005,FyroxEngine/Fyrox,Rust,2024-10,12,11,10,3,3
178597005,FyroxEngine/Fyrox,Rust,2024-11,4,4,3,3,2
178597005,FyroxEngine/Fyrox,Rust,2024-12,2,1,1,7,2
178597005,FyroxEngine/Fyrox,Rust,2025-01,3,4,4,1,1
178597005,FyroxEngine/Fyrox,Rust,2025-02,8,7,7,8,5
178597005,FyroxEngine/Fyrox,Rust,2025-03,19,19,17,3,4
178597005,FyroxEngine/Fyrox,Rust,2025-04,31,29,25,8,7
